,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,positive_score,negative_score,polarity_score,average_sentence_length,percentage_of_complex_words,fog_index,complex_word_count,word_count,uncertainty_score,constraining_score,positive_word_proportion,negative_word_proportion,uncertainty_word_proportion,constraining_word_proportion,constraining_words_whole_report
60,3722,SUNBEAM CORP/FL/,199863,4/21/2010,10-Q,edgar/data/4515/0000004515-10-000016.txt,12.65958,6.44922,0.32499998299213,7.08276814870636,4387.65385581512,1757.89464958553,349345,7962,0,0,0.001507159005275,0.000753579502638,0,0,0
61,3723,SUNBEAM CORP/FL/,199864,7/21/2010,10-Q,edgar/data/4515/0000950123-10-066865.txt,93.56515,24.4083,0.586206891582751,4.14318899718538,444.72044345571,179.545452981158,361829,81361,0,0,0.001143053797274,0.000294981625103,0,0,0
62,3724,SUNBEAM CORP/FL/,199865,10/20/2010,10-Q,edgar/data/4515/0000950123-10-094615.txt,0.5643,0.18525,0.505702747378097,6.5719298245614,126991.929824561,50799.4007017544,361927,285,0,0,0,0,0,0,0
63,3725,SUNBEAM CORP/FL/,199866,4/29/2014,10-Q,edgar/data/4962/0001193125-14-167067.txt,555.067,97.953,0.699999998928057,3.51679121619552,61.8933570181618,26.1640592937429,404176,653020,0,0,0.000849897399773,0.000148540626627,0,0,0
64,3726,SUNBEAM CORP/FL/,199867,7/30/2014,10-Q,edgar/data/4962/0001193125-14-286961.txt,0.56232,0.1846,0.505702745002484,6.58450704225352,142350,56942.6338028169,404274,284,0,0,0,0,0,0,0
65,3727,SUNBEAM CORP/FL/,199868,11/6/1996,10-Q,edgar/data/5588/0000930661-96-001510.txt,0.56232,0.1846,0.505702745002484,6.58450704225352,142384.507042254,56956.4366197183,404372,284,0,0,0,0,0,0,0
66,3728,SUNBEAM CORP/FL/,199869,3/31/1997,10-K,edgar/data/5588/0000950134-97-002428.txt,60.61783,14.33328,0.617529872238985,7.16613643213556,1400.32818726767,562.997729479924,418152,29861,0,0,0.002009309802083,0.000468838953819,0,0,0
67,3729,SUNBEAM CORP/FL/,199870,5/15/1997,10-Q,edgar/data/5588/0000950134-97-003934.txt,6.00225,1.39675,0.622448895465753,6.98807947019868,11118.6225165563,4450.2442384106,419728,3775,0,0,0.00158940397351,0.000264900662252,0,0,0
68,3730,SUNBEAM CORP/FL/,199871,8/14/1997,10-Q,edgar/data/5588/0000950134-97-006223.txt,14.2234,3.44356,0.610169456988103,7.16524178466471,5653.53994122362,2264.28207320331,423224,7486,0,0,0.001870157627571,0.000400748063051,0,0,0
69,3731,SUNBEAM CORP/FL/,199872,11/14/1997,10-Q,edgar/data/5588/0000950134-97-008577.txt,6.13713,1.79814,0.546797960649359,7.07214121258634,10870.7597851113,4351.13277052955,424938,3909,0,0,0.001534919416731,0.000255819902788,0,0,0
70,3732,SUNBEAM CORP/FL/,199873,3/27/1998,10-K,edgar/data/5588/0000950134-98-002477.txt,38.02728,9.50682,0.599999987377483,7.06328930178546,2101.41288043741,843.390467895679,434299,20667,0,0,0.00183868002129,0.000435476847148,0,0,0
71,3733,SUNBEAM CORP/FL/,199874,5/14/1998,10-Q,edgar/data/5588/0000950134-98-004241.txt,6.1397,1.4063,0.627272644146217,6.85772594752187,12701.5160349854,5083.34950437318,435662,3430,0,0,0.001749271137026,0.000291545189504,0,0,0
72,3734,SUNBEAM CORP/FL/,199875,8/14/1998,10-Q,edgar/data/5588/0000950134-98-006988.txt,19.5517,3.5139,0.695312469855002,6.77935627081021,4875.66037735849,1952.97589345172,439297,9010,0,0,0.002108768035516,0.000332963374029,0,0,0
73,3735,SUNBEAM CORP/FL/,199876,11/13/1998,10-Q,edgar/data/5588/0000005588-98-000008.txt,0.56145,0.18525,0.50381611916952,6.56842105263158,154173.684210526,61672.1010526316,439395,285,0,0,0,0,0,0,0
74,3736,SUNBEAM CORP/FL/,199877,11/16/1998,10-Q/A,edgar/data/5588/0000005588-98-000010.txt,0.70692,0.15618,0.638094498789829,6.34793187347932,106942.092457421,42779.3761557178,439532,411,0,0,0,0,0,0,0
75,3737,SUNBEAM CORP/FL/,199878,8/13/1999,10-Q,edgar/data/5907/0000005907-99-000027.txt,64.5984,10.7664,0.714285704808004,6.90384901174023,1673.04577203151,671.979848417298,450317,26916,0,0,0.002377767870412,0.000371526229752,0,0,0
76,3738,SUNBEAM CORP/FL/,199879,11/15/1999,10-Q,edgar/data/5907/0000005907-99-000037.txt,64.31236,11.17291,0.703971109807634,6.94337822465231,1693.41675534843,680.144053429232,461473,27251,0,0,0.002348537668342,0.000403654911746,0,0,0
77,3739,SUNBEAM CORP/FL/,199880,3/27/2000,10-K,edgar/data/5907/0000005907-00-000014.txt,0.56145,0.18525,0.50381611916952,6.56842105263158,161954.736842105,64784.5221052632,461571,285,0,0,0,0,0,0,0
78,3740,SUNBEAM CORP/FL/,199881,5/15/2000,10-Q,edgar/data/5907/0000005907-00-000025.txt,25.20896,4.16398,0.716475071393089,6.97911853563178,4140.96321307979,1659.17693264617,466024,11254,0,0,0.002221432379598,0.000355429180736,0,0,0
79,3741,SUNBEAM CORP/FL/,199882,8/14/2000,10-Q,edgar/data/5907/0000005907-00-000031.txt,42.32094,7.78098,0.689393925634109,6.95415744546317,2495.87943935083,1001.13343871852,473668,18978,0,0,0.002213088839709,0.000368848139952,0,0,0
80,3742,SUNBEAM CORP/FL/,199883,11/14/2000,10-Q,edgar/data/5907/0000005907-00-000038.txt,48.80288,8.93267,0.690566025775003,7.04144673429109,2215.87185018589,889.165318768073,482772,21787,0,0,0.002203148666636,0.000367191444439,0,0,0
81,3743,SUNBEAM CORP/FL/,199884,1/26/2001,10-K/A,edgar/data/5907/0000005907-01-000002.txt,40.99023,8.79699,0.646616528365783,7.18977400224395,2622.17235668109,1051.74485227333,490792,18717,0,0,0.002137094619864,0.000427418923973,0,0,0
82,3744,SUNBEAM CORP/FL/,199885,4/2/2001,10-K405,edgar/data/5907/0000005907-01-000012.txt,248.25404,39.8573,0.723320155592209,7.04497795886826,473.512882207274,192.223144066457,539227,113878,0,0,0.002177769191591,0.000342471768032,0,0,0
83,3745,SUNBEAM CORP/FL/,199886,4/17/2001,10-K405/A,edgar/data/5907/0000005907-01-000015.txt,0.56232,0.1846,0.505702745002484,6.58450704225352,189903.169014085,75963.9014084507,539325,284,0,0,0,0,0,0,0
84,3746,SUNBEAM CORP/FL/,199887,5/15/2001,10-Q,edgar/data/5907/0000950123-01-502538.txt,51.24955,12.87198,0.598513001818375,7.09074128455762,2304.76150522297,924.740898603012,549386,23837,0,0,0.002139530981248,0.000503419054411,0,0,0
85,3747,SUNBEAM CORP/FL/,199888,7/3/2001,10-Q/A,edgar/data/5907/0000950123-01-504075.txt,0.56232,0.1846,0.505702745002484,6.58450704225352,193480.281690141,77394.7464788732,549484,284,0,0,0,0,0,0,0
86,3748,SUNBEAM CORP/FL/,199889,8/10/2001,10-Q/A,edgar/data/5907/0000950123-01-505366.txt,32.04572,9.79636,0.531746019037629,7.10678149843411,3351.26475548061,1343.34861479162,556444,16604,0,0,0.001927246446639,0.000542038063117,0,0,0
87,3749,SUNBEAM CORP/FL/,199890,8/14/2001,10-Q,edgar/data/5907/0000950123-01-505598.txt,29.32538,9.24544,0.520599237439099,7.02505883981725,3891.38861968711,1559.36547141077,562150,14446,0,0,0.002007476117957,0.000623009829711,0,0,0
88,3750,SUNBEAM CORP/FL/,199891,9/2/1998,10-Q,edgar/data/6071/0000006071-98-000023.txt,4.84195,0.7574,0.729468468756468,6.73271719038817,20818.8170055453,8330.21988909427,563149,2705,0,0,0.001478743068392,0,0,0,0
89,3751,SUNBEAM CORP/FL/,199892,12/10/1998,10-Q,edgar/data/6071/0000006071-98-000026.txt,0.56145,0.18525,0.50381611916952,6.5719298245614,197630.52631579,79054.8392982456,563247,285,0,0,0,0,0,0,0
90,3752,SUNBEAM CORP/FL/,199893,4/5/1999,10-K,edgar/data/6071/0000889812-99-001116.txt,35.78904,6.43824,0.695067248113844,6.85530207013097,3013.7515842839,1208.24275454161,570684,18936,0,0,0.001848331220955,0.000316856780735,0,0,0
91,3753,SUNBEAM CORP/FL/,199894,6/15/1999,10-Q,edgar/data/6071/0000006071-99-000013.txt,6.7414,1.16608,0.705069035259143,6.7307903402854,15698.1888035126,6281.96783754116,572042,3644,0,0,0.001646542261251,0.000274423710209,0,0,0
92,3754,SUNBEAM CORP/FL/,199895,9/14/1999,10-Q,edgar/data/6071/0000006071-99-000015.txt,13.23834,2.4978,0.682539639165663,6.93069901513332,6908.99591640644,2766.37064616863,575243,8326,0,0,0.001561374009128,0.00024021138602,0,0,0
93,3755,SUNBEAM CORP/FL/,199896,12/14/1999,10-Q,edgar/data/6071/0000006071-99-000017.txt,10.48183,1.57499,0.738738677467303,6.746455533051,10630.2338427546,4254.79211931504,577328,5431,0,0,0.001841281531946,0.000184128153195,0,0,0
94,3756,SUNBEAM CORP/FL/,199897,4/11/2000,10-K,edgar/data/6071/0000006071-00-000002.txt,29.66828,5.99678,0.663716795549572,6.91439072302136,3697.91521449845,1481.93184208859,583568,15781,0,0,0.001837652873709,0.000316836702364,0,0,0
95,3757,SUNBEAM CORP/FL/,199898,6/13/2000,10-Q,edgar/data/6071/0000006071-00-000011.txt,6.25677,1.53855,0.605263080250319,6.70459198596081,17105.2062006435,6844.76431705177,584827,3419,0,0,0.001754899093302,0.000292483182217,0,0,0
96,3758,SUNBEAM CORP/FL/,199899,8/16/1999,10-Q,edgar/data/6201/0000006201-99-000023.txt,0.56232,0.1846,0.505702745002484,6.58450704225352,205959.507042254,82386.4366197183,584925,284,0,0,0,0,0,0,0
97,3759,SUNBEAM CORP/FL/,199900,11/5/1999,10-Q,edgar/data/6201/0000006201-99-000028.txt,10.00728,3.051,0.532710239579007,7.00901343821698,9627.13864306785,3853.65906260243,587448,6102,0,0,0.001638806948541,0.000491642084562,0,0,0
98,3760,SUNBEAM CORP/FL/,199901,3/27/2000,10-K405,edgar/data/6201/0000950134-00-002454.txt,78.27276,15.3476,0.672131140361657,7.03893768406787,1574.69050535589,632.691777215982,604193,38369,0,0,0.002032891136073,0.000390940603091,0,0,0
99,3761,SUNBEAM CORP/FL/,199902,5/11/2000,10-Q,edgar/data/6201/0000006201-00-000009.txt,6.41388,1.64076,0.592592519021022,6.81013676588898,16240.2788951462,6498.83561276482,605600,3729,0,0,0.001609010458568,0.000268168409761,0,0,0
100,3762,SUNBEAM CORP/FL/,199903,7/28/2000,10-Q,edgar/data/6201/0000950134-00-006067.txt,0.5643,0.18525,0.505702747378097,6.56491228070176,212525.614035088,85012.8715789474,605698,285,0,0,0,0,0,0,0
101,3763,SUNBEAM CORP/FL/,199904,10/26/2000,10-Q,edgar/data/6201/0000006201-00-000017.txt,8.25147,2.02905,0.605263099019982,6.93590596584609,13472.8321135507,5391.90720780661,607490,4509,0,0,0.00177422931914,0.000443557329785,0,0,0
102,3764,SUNBEAM CORP/FL/,199905,3/22/2001,10-K405,edgar/data/6201/0000950134-01-002483.txt,0.56232,0.1846,0.505702745002484,6.58450704225352,213939.436619718,85578.4084507042,607588,284,0,0,0,0,0,0,0
103,3765,SUNBEAM CORP/FL/,199906,4/24/2001,10-Q,edgar/data/6201/0000950134-01-500665.txt,7.54197,2.25833,0.539130379770989,6.87819760619573,14298.0755691152,5721.98150668857,609241,4261,0,0,0.001642806852851,0.000469373386529,0,0,0
104,3766,SUNBEAM CORP/FL/,199907,8/13/2001,10-Q,edgar/data/6201/0000006201-01-500032.txt,8.64094,2.8055,0.509803877030424,6.84334343254322,10896.0791302798,4361.16898948494,611379,5611,0,0,0.001425770807343,0.000356442701836,0,0,0
105,3767,SUNBEAM CORP/FL/,199908,10/25/2001,10-Q,edgar/data/6201/0000006201-01-500047.txt,9.96165,8.04311,0.106557371130891,7.05271717034829,8327.23946334192,3333.71687220491,614467,7379,0,0,0.001219677463071,0.001084157744952,0,0,0
